Episode,Reward,Timer,Input_PosX,Input_PosY,Input_Angle,Input_DistNorm,Output_Accelerate,Output_TurnLeft,Output_TurnRight,Output_Dash,Output_Skill,Target_Accelerate,Target_TurnLeft,Target_TurnRight,Target_Dash,Target_Skill,Loss
2,1.52,0.90,1.0328,0.3746,47.1809,0.1077,4.9191,-4.6089,14.4911,14.1847,7.6015,4.9191,-4.6089,14.4911,10.6328,7.6015,2.523196
2,0.95,1.00,-0.6971,0.4245,0.0000,0.7392,2.6482,-1.0480,9.2108,6.7374,4.4117,2.6482,-1.0480,15.3125,6.7374,4.4117,7.445976
2,1.07,1.10,-0.6971,0.4245,20.0000,0.7392,4.5223,-4.1900,14.6072,13.1197,7.7326,15.5312,-4.1900,14.6072,13.1197,7.7326,24.239220
2,1.07,1.20,-0.6178,0.3957,21.1832,0.6997,4.5223,-4.4147,14.7222,13.7372,7.7326,4.5223,-4.4147,15.6403,13.7372,7.7326,0.168575
2,1.04,1.30,-0.5357,0.3658,43.7381,0.6591,4.1634,-4.3247,14.7736,13.4437,7.8660,4.1634,-4.3247,15.6613,13.4437,7.8660,0.157600
2,1.00,1.40,-0.4871,0.3481,64.6322,0.6353,4.1634,-4.0516,14.9217,12.7825,7.8660,4.1634,-4.0516,15.7679,12.7825,7.8660,0.143209
2,0.95,1.50,-0.4515,0.3351,85.3320,0.6180,4.3567,-3.7314,15.1085,13.3554,7.8660,4.3567,-3.7314,15.9055,13.3554,7.8660,0.127044
2,0.90,1.60,-0.4253,0.3256,105.8712,0.6053,5.1271,-3.0910,15.1878,13.5204,8.0037,5.1271,-3.0910,15.9314,13.5204,8.0037,0.110597
2,0.84,1.70,-0.4061,0.3186,126.2814,0.5960,4.9454,-3.3041,15.2981,13.8036,8.2757,4.9454,-3.3041,15.9843,13.8036,8.2757,0.094153
2,0.78,1.80,-0.3920,0.3135,146.5907,0.5893,5.1355,-3.5425,15.4356,14.0031,8.2757,5.1355,-3.5425,16.0612,14.0031,8.2757,0.078270
2,0.78,1.90,-0.3817,0.3097,166.8222,0.5843,5.1173,-3.5875,15.4990,13.3125,8.2757,5.1173,-3.5875,7.4970,13.3125,8.2757,12.806420
2,0.78,2.00,-0.3728,0.3065,-168.9767,0.5800,-3.5353,7.0590,-12.8450,-12.1735,-7.1816,-3.5353,16.2249,-12.8450,-12.1735,-7.1816,16.802600
2,0.79,2.10,-0.3676,0.3046,171.1439,0.5775,5.5107,-4.2479,15.7212,14.3214,8.2757,5.5107,-4.2479,8.3353,14.3214,8.2757,10.910130
2,0.78,2.20,-0.3637,0.3032,-168.7671,0.5757,-3.5801,7.7588,-13.0860,-12.4524,-7.1816,-3.5801,16.5179,-13.0860,-12.4524,-7.1816,15.344540
2,0.79,2.30,-0.3609,0.3022,171.2987,0.5744,5.2912,-4.8826,16.0040,13.6092,8.2757,5.2912,-4.8826,9.0518,13.6092,8.2757,9.666689
2,0.87,2.40,-0.3588,0.3014,-168.6529,0.5734,-3.3316,8.2477,-13.1203,-11.6818,-7.1816,-3.3316,8.2477,-13.1203,-11.6818,9.0388,52.620530
2,0.77,2.50,-0.3571,0.3008,-144.6113,0.5725,-3.4737,8.2958,-13.0852,-12.7013,-7.3075,-3.4737,16.5237,-13.0852,-12.7013,-7.3075,13.539770
2,0.81,2.60,-0.3562,0.3005,175.4090,0.5721,4.8325,-4.5468,15.8549,14.1445,8.6973,4.8325,-4.5468,8.9659,14.1445,8.6973,9.491903
2,0.77,2.70,-0.3562,0.3005,-164.5910,0.5721,-2.9758,8.3549,-12.9297,-12.5163,-7.5536,-2.9758,16.3545,-12.9297,-12.5163,-7.5536,12.798620
2,0.81,2.80,-0.3562,0.3005,175.4090,0.5721,5.0322,-4.5423,15.5840,14.1743,8.6973,5.0322,-4.5423,9.0519,14.1743,8.6973,8.533751
2,0.78,2.90,-0.3562,0.3005,-164.5910,0.5721,-3.3189,8.7419,-12.5598,-12.7768,-7.5536,-3.3189,15.9527,-12.5598,-12.7768,-7.5536,10.399340
2,0.79,3.00,-0.3562,0.3005,171.4090,0.5721,4.9792,-5.5528,15.1738,14.1776,8.4383,4.9792,-5.5528,10.2631,14.1776,8.4383,4.822972
2,0.81,3.10,-0.3562,0.3005,-168.5910,0.5721,-2.9971,9.6984,-12.2621,-12.8322,-7.1826,10.4164,9.6984,-12.2621,-12.8322,-7.1826,35.984380
2,0.66,3.20,-0.4403,0.3081,-149.3713,0.6136,-3.0692,9.0414,-11.8781,-12.3132,-6.3380,-3.0692,9.6148,-11.8781,-12.3132,-6.3380,0.065746
2,0.59,3.30,-0.5150,0.3149,-169.9800,0.6504,-3.3713,9.4103,-11.7874,-11.7848,-6.0570,14.9112,9.4103,-11.7874,-11.7848,-6.0570,66.850080
2,0.50,3.40,-0.5991,0.3225,169.4115,0.6921,4.9158,-5.7445,14.4935,13.6669,7.1895,4.9158,-5.7445,10.4567,13.6669,7.1895,3.259181
2,0.49,3.50,-0.6737,0.3293,-171.0700,0.7291,-2.0794,10.3908,-11.8208,-12.2075,-5.7808,10.7800,10.3908,-11.8208,-12.2075,-5.7808,33.072780
2,0.31,3.60,-0.7579,0.3369,-151.5574,0.7708,-2.0081,10.9624,-11.8145,-12.1757,-5.4879,-2.0081,11.1674,-11.8145,-12.1757,-5.4879,0.008403
2,0.30,3.70,-0.8448,0.3448,-176.0086,0.8140,-0.6846,11.0783,-11.6433,-12.1054,-5.6125,-0.6846,11.0783,-11.6433,-12.1054,14.4707,80.667190
2,0.21,3.80,-0.8963,0.3495,163.7462,0.8396,2.6475,-6.3780,14.2409,13.6730,6.9539,2.6475,-6.3780,10.9680,13.6730,6.9539,2.142331
