Episode,Step,PosX,PosY,Angle,DistN,AccProb,TurnLeftProb,TurnRightProb,DashProb,SkillProb,Action,Reward,Entropy,OriginalEntropy,PolicyLoss,ValueLoss,TotalLoss,Advantage,ClippedRatio,Return
0,58,0.00,0.42,0.00,0.52,0.1970,0.1923,0.1896,0.1931,0.1981,3,3.4504,1.5906,1.5906,-3.4504,11.9053,0.0894,3.4504,0.9621,3.4517
0,59,0.00,0.42,0.00,0.49,0.1970,0.1923,0.1896,0.1931,0.1981,1,3.0152,1.5906,1.5906,-3.0152,9.0912,-0.3196,3.0152,1.0189,3.0164
0,60,0.00,0.42,0.00,0.48,0.1970,0.1923,0.1896,0.1931,0.1981,2,3.0383,1.5906,1.5906,-3.0383,9.2312,-0.3007,3.0383,0.9955,3.0395
0,61,0.00,0.42,0.00,0.47,0.1969,0.1923,0.1896,0.1931,0.1981,4,3.0553,1.5906,1.5906,-3.0553,9.3346,-0.2867,3.0553,0.9859,3.0564
0,62,0.00,0.42,0.00,0.47,0.1969,0.1923,0.1895,0.1931,0.1981,3,3.0698,1.5906,1.5906,-3.0698,9.4236,-0.2745,3.0698,1.0452,3.0710
0,63,0.00,0.42,0.00,0.39,0.1969,0.1923,0.1895,0.1931,0.1982,4,3.7176,1.5906,1.5906,-3.7176,13.8207,0.3968,3.7176,0.9748,3.7187
0,64,0.18,0.42,0.00,0.30,0.1969,0.1921,0.1894,0.1933,0.1983,3,3.8950,1.5906,1.5906,-3.8950,15.1712,0.6245,3.8950,1.0270,3.8967
0,65,0.37,0.42,0.00,0.20,0.1968,0.1920,0.1893,0.1934,0.1985,1,4.0928,1.5906,1.5906,-4.0928,16.7512,0.9007,4.0928,0.9751,4.0952
0,66,0.44,0.42,0.00,0.17,0.1968,0.1919,0.1892,0.1935,0.1986,0,4.1635,1.5906,1.5906,-4.1634,17.3343,1.0050,4.1634,0.9925,4.1661
0,67,0.55,0.42,0.00,0.12,0.1968,0.1919,0.1891,0.1935,0.1987,4,4.2648,1.5906,1.5906,-4.2648,18.1887,1.1600,4.2648,1.0252,4.2678
0,68,0.55,0.42,-38.18,0.15,0.1954,0.1789,0.1694,0.2189,0.2074,1,3.2548,1.5865,1.5865,-3.2551,10.5955,-0.1082,3.2551,1.0542,3.2235
0,69,0.52,0.42,-86.09,0.21,0.1900,0.1813,0.1680,0.2245,0.2063,4,2.5788,1.5857,1.5857,-2.5793,6.6528,-0.6152,2.5793,0.8738,2.5312
0,70,0.49,0.42,-119.54,0.25,0.1872,0.1831,0.1690,0.2251,0.2057,0,2.1027,1.5859,1.5859,-2.1032,4.4236,-0.8079,2.1032,1.1346,2.0467
0,71,0.47,0.42,-146.65,0.29,0.1856,0.1839,0.1696,0.2255,0.2054,4,1.7130,1.5859,1.5859,-1.7136,2.9363,-0.8644,1.7136,0.9025,1.6521
0,72,0.46,0.42,-161.83,0.31,0.1849,0.1842,0.1699,0.2257,0.2053,0,1.4924,1.5859,1.5859,-1.4930,2.2291,-0.8560,1.4930,1.1060,1.4293
0,73,0.45,0.42,-172.43,0.33,0.1845,0.1843,0.1701,0.2259,0.2052,4,1.3368,1.5859,1.5859,-1.3374,1.7887,-0.8325,1.3374,0.8987,1.2724
0,74,0.44,0.42,-179.83,0.34,0.1842,0.1844,0.1702,0.2261,0.2052,0,1.2270,1.5858,1.5858,-1.2277,1.5071,-0.8072,1.2277,1.1122,1.1617
