Episode,Reward,Timer,Input_PosX,Input_PosY,Input_Angle,Input_DistNorm,Output_Accelerate,Output_TurnLeft,Output_TurnRight,Target_Accelerate,Target_TurnLeft,Target_TurnRight,Loss
1,1.66,2.60,-0.0979,0.2064,33.9333,0.4529,107.0180,101.2021,-5.1353,107.6076,101.2021,-5.1353,0.115855
1,1.71,2.70,-0.0185,0.1775,37.1631,0.4185,108.4775,102.9682,-0.4222,109.1076,102.9682,-0.4222,0.132325
1,1.81,2.80,0.0609,0.1486,40.9564,0.3857,109.5529,103.7354,8.3513,109.5529,110.2730,8.3513,14.246860
1,1.94,2.90,0.1313,0.1230,24.8871,0.3582,110.7896,104.1845,19.0054,115.4168,104.1845,19.0054,7.137009
1,2.02,3.00,0.2158,0.1230,8.0673,0.3204,116.2253,102.4351,32.5033,116.9701,102.4351,32.5033,0.184930
1,2.10,3.10,0.2952,0.1519,8.3299,0.2787,116.7814,104.5061,27.4630,116.6273,104.5061,27.4630,0.007918
1,2.24,3.20,0.3740,0.1821,9.8097,0.2370,117.5536,107.5665,29.4190,116.1883,107.5665,29.4190,0.621344
1,2.31,3.30,0.5229,0.2391,14.7095,0.1590,116.1517,110.4929,17.8031,117.1368,110.4929,17.8031,0.323444
1,2.26,3.40,0.6018,0.2694,19.8972,0.1186,116.6636,110.9615,11.8170,55.5014,110.9615,11.8170,1246.937000
1,2.09,3.50,0.6532,0.2588,-14.1849,0.1520,-85.6237,-91.5405,56.7557,-85.6237,-91.5405,58.1809,0.677041
1,2.03,3.60,0.6714,0.2407,-44.6650,0.1925,-87.5819,-92.1412,62.1721,-87.5819,-92.1412,63.5834,0.663887
1,1.98,3.70,0.6780,0.2342,-54.9617,0.2072,-87.4274,-92.8624,66.8402,-87.4274,-92.8624,68.1514,0.573151
1,1.96,3.80,0.6843,0.2280,-64.0929,0.2211,-87.2976,-93.2626,74.9275,-87.2976,-93.2626,76.1395,0.489646
1,1.95,3.90,0.6865,0.2258,-67.1270,0.2261,-88.9200,-93.4442,73.4581,-88.9200,-93.4442,74.6716,0.490849
