Episode,Step,PosX,PosY,Angle,DistN,Action0P,Action1P,Action2P,Action,Reward,Entropy,OriginalEntropy,PolicyLoss,ValueLoss,TotalLoss,Advantage,ClippedRatio,Return
0,71,0.29,0.42,0.00,0.24,0.3249,0.3252,0.3200,1,3.5106,1.0952,1.0952,-3.5105,12.3236,0.1647,3.5105,1.0012,3.5185
0,72,0.36,0.42,0.00,0.21,0.3249,0.3251,0.3199,1,3.5747,1.0952,1.0952,-3.5746,12.7777,0.2368,3.5746,0.9999,3.5826
0,73,0.39,0.42,0.00,0.19,0.3250,0.3251,0.3199,0,3.6126,1.0952,1.0952,-3.6125,13.0504,0.2807,3.6125,0.9999,3.6206
0,74,0.48,0.42,0.00,0.15,0.3251,0.3251,0.3198,0,3.6971,1.0952,1.0952,-3.6970,13.6679,0.3815,3.6970,0.9999,3.7051
0,75,0.56,0.42,0.00,0.11,0.3252,0.3250,0.3198,1,3.7816,1.0952,1.0952,-3.7815,14.2997,0.4865,3.7815,1.0003,3.7897
0,76,0.55,0.42,-49.19,0.16,0.3401,0.3323,0.2976,1,3.1000,1.0936,1.0936,-3.1016,9.6199,-0.2375,3.1016,1.0220,2.9404
0,77,0.51,0.42,-107.58,0.24,0.3413,0.3370,0.2917,1,2.2734,1.0928,1.0928,-2.2752,5.1764,-0.7441,2.2752,1.0140,2.0971
0,78,0.49,0.42,-138.88,0.28,0.3422,0.3379,0.2899,2,1.8252,1.0925,1.0925,-1.8270,3.3379,-0.8475,1.8270,1.0027,1.6453
0,79,0.47,0.42,-168.64,0.32,0.3432,0.3382,0.2886,2,1.3926,1.0923,1.0923,-1.3944,1.9444,-0.8329,1.3944,0.8541,1.2102
0,80,0.46,0.42,-177.19,0.33,0.3434,0.3383,0.2883,1,1.2664,1.0923,1.0923,-1.2682,1.6084,-0.8076,1.2682,0.9989,1.0834
0,81,0.46,0.42,175.89,0.34,0.3049,0.3141,0.3510,2,2.2589,1.0934,1.0934,-2.2570,5.0941,-0.7506,2.2570,1.0895,2.4448
0,82,0.45,0.42,172.01,0.35,0.3050,0.3141,0.3509,0,2.2907,1.0934,1.0934,-2.2888,5.2388,-0.7391,2.2888,1.1173,2.4764
0,83,0.00,0.42,0.00,0.74,0.3242,0.3252,0.3207,2,2.5216,1.0952,1.0952,-2.5215,6.3580,-0.6360,2.5215,0.9238,2.5299
0,84,0.00,0.42,0.00,0.74,0.3242,0.3252,0.3207,1,2.5216,1.0952,1.0952,-2.5215,6.3580,-0.6360,2.5215,0.9892,2.5299
0,85,0.00,0.42,0.00,0.74,0.3242,0.3252,0.3207,0,2.5216,1.0952,1.0952,-2.5215,6.3580,-0.6360,2.5215,1.0140,2.5299
0,86,0.00,0.42,0.00,0.69,0.3242,0.3252,0.3206,1,2.6230,1.0952,1.0952,-2.6229,6.8796,-0.5809,2.6229,0.9971,2.6312
0,87,0.00,0.42,0.00,0.65,0.3242,0.3252,0.3206,1,2.6934,1.0952,1.0952,-2.6933,7.2540,-0.5390,2.6933,1.0030,2.7016
0,88,0.00,0.42,0.00,0.63,0.3243,0.3252,0.3205,2,2.7451,1.0952,1.0952,-2.7450,7.5352,-0.5064,2.7450,1.0000,2.7533
0,89,0.00,0.42,0.00,0.61,0.3243,0.3252,0.3205,1,2.7830,1.0952,1.0952,-2.7830,7.7449,-0.4814,2.7830,0.9855,2.7912
0,90,0.00,0.42,0.00,0.59,0.3243,0.3252,0.3205,1,2.8155,1.0952,1.0952,-2.8154,7.9266,-0.4594,2.8154,1.0148,2.8236
0,91,0.00,0.42,0.00,0.58,0.3243,0.3252,0.3205,1,2.8347,1.0952,1.0952,-2.8346,8.0351,-0.4460,2.8346,1.0000,2.8428
0,92,0.00,0.42,0.00,0.57,0.3243,0.3252,0.3204,2,2.8573,1.0952,1.0952,-2.8572,8.1638,-0.4300,2.8572,1.0000,2.8654
0,93,0.00,0.42,0.00,0.57,0.3243,0.3252,0.3204,1,2.8654,1.0952,1.0952,-2.8653,8.2101,-0.4242,2.8653,0.9853,2.8735
0,94,0.00,0.42,0.00,0.56,0.3243,0.3252,0.3204,1,2.8713,1.0952,1.0952,-2.8712,8.2441,-0.4199,2.8712,1.0150,2.8794
0,95,0.00,0.42,0.00,0.56,0.3243,0.3252,0.3204,0,2.8764,1.0952,1.0952,-2.8763,8.2732,-0.4163,2.8763,1.0000,2.8844
0,96,0.00,0.42,0.00,0.52,0.3244,0.3253,0.3204,0,2.9609,1.0952,1.0952,-2.9608,8.7663,-0.3528,2.9608,0.9974,2.9688
0,97,0.00,0.42,0.00,0.48,0.3244,0.3253,0.3203,0,3.0454,1.0952,1.0952,-3.0453,9.2737,-0.2851,3.0453,1.0001,3.0533
0,98,0.00,0.42,0.00,0.44,0.3245,0.3253,0.3203,0,3.1298,1.0952,1.0952,-3.1298,9.7954,-0.2130,3.1298,1.0001,3.1377
0,99,0.00,0.42,0.00,0.39,0.3245,0.3253,0.3202,0,3.2143,1.0952,1.0952,-3.2142,10.3314,-0.1367,3.2142,1.0001,3.2221
1,0,0.10,0.42,0.00,0.34,0.3246,0.3253,0.3201,0,3.3157,1.0952,1.0952,-3.3091,10.9416,-0.0485,0.0000,0.0000,3.3157
1,1,0.18,0.42,0.00,0.30,0.3247,0.3252,0.3201,1,3.4002,1.0952,1.0952,-3.4001,11.5607,0.0462,3.4001,1.0007,3.4080
1,2,0.26,0.42,0.00,0.26,0.3248,0.3252,0.3200,1,3.4751,1.0952,1.0952,-3.4750,12.0758,0.1258,3.4750,1.0014,3.4830
1,3,0.31,0.42,0.00,0.23,0.3249,0.3252,0.3200,1,3.5301,1.0952,1.0952,-3.5300,12.4611,0.1864,3.5300,0.9999,3.5380
1,4,0.38,0.42,0.00,0.20,0.3250,0.3251,0.3199,1,3.6001,1.0952,1.0952,-3.6000,12.9600,0.2661,3.6000,0.9999,3.6081
1,5,0.42,0.42,0.00,0.18,0.3250,0.3251,0.3199,1,3.6378,1.0952,1.0952,-3.6377,13.2328,0.3102,3.6377,0.9999,3.6458
1,6,0.44,0.42,0.00,0.17,0.3250,0.3251,0.3199,2,3.6566,1.0952,1.0952,-3.6565,13.3699,0.3326,3.6565,1.0000,3.6646
1,7,0.45,0.42,0.00,0.17,0.3250,0.3251,0.3199,0,3.6673,1.0952,1.0952,-3.6672,13.4487,0.3455,3.6672,0.9839,3.6753
1,8,0.55,0.42,0.00,0.12,0.3252,0.3250,0.3198,2,3.7687,1.0952,1.0952,-3.7686,14.2025,0.4702,3.7686,1.0166,3.7768
1,9,0.55,0.42,-38.18,0.15,0.3396,0.3309,0.2995,1,3.2548,1.0938,1.0938,-3.2563,10.6033,-0.0972,3.2563,0.9209,3.1055
1,10,0.52,0.42,-86.09,0.21,0.3408,0.3358,0.2934,2,2.5788,1.0931,1.0931,-2.5806,6.6593,-0.6046,2.5806,1.1214,2.4060
1,11,0.49,0.42,-119.54,0.25,0.3417,0.3374,0.2909,1,2.1027,1.0927,1.0927,-2.1045,4.4287,-0.7977,2.1045,0.8664,1.9248
1,12,0.48,0.42,-142.90,0.28,0.3424,0.3380,0.2897,2,1.7671,1.0925,1.0925,-1.7689,3.1291,-0.8520,1.7689,1.1616,1.5869
1,13,0.46,0.42,-159.21,0.31,0.3429,0.3382,0.2890,0,1.5305,1.0924,1.0924,-1.5324,2.3482,-0.8498,1.5324,0.8550,1.3489
1,14,0.45,0.42,-178.56,0.34,0.3435,0.3383,0.2882,1,1.2460,1.0923,1.0923,-1.2479,1.5571,-0.8026,1.2479,1.1886,1.0629
1,15,0.44,0.42,175.89,0.34,0.3049,0.3141,0.3511,2,1.2589,1.0934,1.0934,-1.2570,1.5801,-0.8049,1.2570,0.9144,1.4448
1,16,0.44,0.42,172.01,0.35,0.3050,0.3141,0.3509,1,2.2907,1.0934,1.0934,-2.2888,5.2388,-0.7391,2.2888,1.1173,2.4764
1,17,0.44,0.42,152.01,0.36,0.3055,0.3144,0.3501,0,2.5142,1.0935,1.0935,-2.5123,6.3118,-0.6407,2.5123,0.8960,2.6985
0,18,0.00,0.42,0.00,0.74,0.3333,0.3158,0.3209,0,2.5216,1.0950,1.0950,-2.5216,6.3583,-0.6360,2.5216,1.0599,2.5239
0,19,0.00,0.42,0.00,0.69,0.3333,0.3159,0.3208,0,2.6230,1.0950,1.0950,-2.6230,6.8799,-0.5809,2.6230,1.0002,2.6251
0,20,0.00,0.42,0.00,0.65,0.3334,0.3159,0.3207,1,2.7075,1.0949,1.0949,-2.7074,7.3302,-0.5303,2.7074,1.0001,2.7095
0,21,0.00,0.42,0.00,0.60,0.3334,0.3159,0.3207,0,2.7948,1.0949,1.0949,-2.7948,7.8107,-0.4734,2.7948,0.9477,2.7967
0,22,0.00,0.42,0.00,0.56,0.3335,0.3160,0.3206,2,2.8793,1.0949,1.0949,-2.8793,8.2901,-0.4141,2.8793,1.0555,2.8810
0,23,0.00,0.42,0.00,0.51,0.3335,0.3160,0.3205,0,2.9783,1.0949,1.0949,-2.9782,8.8699,-0.3392,2.9782,0.9612,2.9798
0,24,0.00,0.42,0.00,0.47,0.3336,0.3160,0.3204,0,3.0627,1.0949,1.0949,-3.0627,9.3803,-0.2705,3.0627,1.0407,3.0642
0,25,0.00,0.42,0.00,0.43,0.3336,0.3161,0.3204,1,3.1472,1.0949,1.0949,-3.1472,9.9049,-0.1976,3.1472,1.0001,3.1485
0,26,0.00,0.42,0.00,0.39,0.3336,0.3161,0.3203,2,3.2222,1.0949,1.0949,-3.2221,10.3822,-0.1294,3.2221,0.9475,3.2233
0,27,0.07,0.42,0.00,0.36,0.3336,0.3160,0.3203,2,3.2862,1.0949,1.0949,-3.2862,10.7993,-0.0683,3.2862,1.0134,3.2876
0,28,0.11,0.42,0.00,0.34,0.3336,0.3160,0.3203,1,3.3242,1.0949,1.0949,-3.3242,11.0501,-0.0310,3.3242,1.0001,3.3257
0,29,0.13,0.42,0.00,0.32,0.3336,0.3160,0.3203,0,3.3520,1.0949,1.0949,-3.3520,11.2360,-0.0031,3.3520,0.9865,3.3536
0,30,0.22,0.42,0.00,0.28,0.3336,0.3160,0.3204,2,3.4365,1.0949,1.0949,-3.4365,11.8094,0.0844,3.4365,1.0557,3.4383
0,31,0.29,0.42,0.00,0.24,0.3336,0.3160,0.3204,0,3.5114,1.0949,1.0949,-3.5114,12.3301,0.1657,3.5114,0.9604,3.5135
0,32,0.38,0.42,0.00,0.20,0.3336,0.3159,0.3205,1,3.5959,1.0949,1.0949,-3.5959,12.9305,0.2613,3.5959,1.0412,3.5982
0,33,0.51,0.42,0.00,0.14,0.3336,0.3159,0.3205,2,3.7258,1.0949,1.0949,-3.7258,13.8817,0.4168,3.7258,0.9468,3.7285
0,34,0.55,0.42,0.00,0.11,0.3336,0.3158,0.3205,0,3.7729,1.0949,1.0949,-3.7729,14.2344,0.4756,3.7729,1.0148,3.7757
0,35,0.56,0.42,-38.18,0.15,0.3235,0.3065,0.3400,0,3.2546,1.0943,1.0943,-3.2541,10.5889,-0.0993,3.2541,1.0092,3.3128
0,36,0.53,0.42,-86.09,0.21,0.3265,0.2996,0.3439,1,2.5787,1.0936,1.0936,-2.5779,6.6457,-0.6061,2.5779,1.0095,2.6562
0,37,0.50,0.42,-129.90,0.27,0.3280,0.2976,0.3445,2,1.9541,1.0934,1.0934,-1.9533,3.8154,-0.8306,1.9533,0.9113,2.0335
0,38,0.48,0.42,-153.38,0.30,0.3284,0.2970,0.3446,2,1.6153,1.0934,1.0934,-1.6145,2.6066,-0.8544,1.6145,1.1580,1.6942
0,39,0.47,0.42,-168.64,0.32,0.3286,0.2968,0.3446,2,1.3925,1.0934,1.0934,-1.3917,1.9368,-0.8325,1.3917,1.0001,1.4710
0,40,0.47,0.42,-177.19,0.33,0.3287,0.2967,0.3446,1,1.2663,1.0933,1.0933,-1.2655,1.6014,-0.8069,1.2655,1.0001,1.3446
0,41,0.46,0.42,175.89,0.34,0.3369,0.3370,0.2961,2,2.2588,1.0934,1.0934,-2.2596,5.1056,-0.7497,2.2596,0.9779,2.1815
0,42,0.00,0.42,0.00,0.74,0.3333,0.3158,0.3209,0,2.5216,1.0950,1.0950,-2.5216,6.3583,-0.6360,2.5216,0.9522,2.5239
0,43,0.00,0.42,0.00,0.70,0.3333,0.3159,0.3208,2,2.6061,1.0950,1.0950,-2.6061,6.7915,-0.5905,2.6061,1.0386,2.6083
0,44,0.00,0.42,0.00,0.66,0.3333,0.3159,0.3208,0,2.6810,1.0949,1.0949,-2.6810,7.1877,-0.5466,2.6810,0.9624,2.6831
0,45,0.00,0.42,0.00,0.61,0.3334,0.3159,0.3207,1,2.7824,1.0949,1.0949,-2.7824,7.7416,-0.4818,2.7824,1.0394,2.7843
0,46,0.00,0.42,0.00,0.57,0.3334,0.3160,0.3206,2,2.8528,1.0949,1.0949,-2.8528,8.1385,-0.4332,2.8528,0.9477,2.8546
0,47,0.00,0.42,0.00,0.55,0.3335,0.3160,0.3206,1,2.9045,1.0949,1.0949,-2.9045,8.4361,-0.3956,2.9045,1.0146,2.9062
0,48,0.00,0.42,0.00,0.52,0.3335,0.3160,0.3205,2,2.9546,1.0949,1.0949,-2.9546,8.7298,-0.3576,2.9546,0.9857,2.9562
0,49,0.00,0.42,0.00,0.51,0.3335,0.3160,0.3205,0,2.9871,1.0949,1.0949,-2.9871,8.9229,-0.3322,2.9871,1.0143,2.9887
0,50,0.00,0.42,0.00,0.46,0.3336,0.3160,0.3204,1,3.0716,1.0949,1.0949,-3.0716,9.4347,-0.2631,3.0716,1.0408,3.0730
0,51,0.00,0.42,0.00,0.43,0.3336,0.3161,0.3204,2,3.1466,1.0949,1.0949,-3.1465,9.9007,-0.1982,3.1465,0.9475,3.1478
0,52,0.00,0.42,0.00,0.40,0.3336,0.3161,0.3203,0,3.2015,1.0949,1.0949,-3.2015,10.2498,-0.1485,3.2015,1.0135,3.2027
0,53,0.08,0.42,0.00,0.35,0.3336,0.3160,0.3203,1,3.3029,1.0949,1.0949,-3.3029,10.9092,-0.0520,3.3029,1.0416,3.3043
0,54,0.15,0.42,0.00,0.31,0.3336,0.3160,0.3204,0,3.3734,1.0949,1.0949,-3.3733,11.3794,0.0186,3.3733,0.9472,3.3750
0,55,0.24,0.42,0.00,0.27,0.3336,0.3160,0.3204,2,3.4578,1.0949,1.0949,-3.4578,11.9565,0.1072,3.4578,1.0558,3.4597
